Metric	Core0
total	0.495
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	0.025
depend-fp	0.023
depend-branch	-
issue	0.047
serial	-
smt	-
branch	0.014
itlb	-
dtlb	-
ifetch	0.013
mem	-
mem-l1d	0.098
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.022
sync	-
dvfs-transition	-
imbalance	-
other	0.002
total	0.845
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	0.019
depend-fp	0.015
depend-branch	-
issue	0.081
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.111
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.363
sync	-
dvfs-transition	-
imbalance	-
other	0.007
total	1.334
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	-
depend-branch	-
issue	0.128
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.125
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.819
sync	-
dvfs-transition	-
imbalance	-
other	0.013
total	1.497
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.130
depend-branch	-
issue	0.048
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.342
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.721
sync	-
dvfs-transition	-
imbalance	-
other	0.006
total	1.560
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.191
depend-branch	-
issue	-
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.434
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.684
sync	-
dvfs-transition	-
imbalance	-
other	0.002
