Metric	Core0
total	1.317
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.109
depend-branch	-
issue	0.022
serial	-
smt	-
branch	0.019
itlb	-
dtlb	-
ifetch	0.024
mem	-
mem-l1d	0.101
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.783
sync	-
dvfs-transition	-
imbalance	-
other	0.009
total	1.513
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.152
depend-branch	-
issue	-
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.115
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.991
sync	-
dvfs-transition	-
imbalance	-
other	0.005
total	1.513
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.152
depend-branch	-
issue	-
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.115
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.991
sync	-
dvfs-transition	-
imbalance	-
other	0.005
total	1.513
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.152
depend-branch	-
issue	-
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.115
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.991
sync	-
dvfs-transition	-
imbalance	-
other	0.005
total	1.513
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.152
depend-branch	-
issue	-
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.115
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.991
sync	-
dvfs-transition	-
imbalance	-
other	0.005
total	1.513
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.152
depend-branch	-
issue	-
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.115
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.991
sync	-
dvfs-transition	-
imbalance	-
other	0.005
total	1.513
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.152
depend-branch	-
issue	-
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.115
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.991
sync	-
dvfs-transition	-
imbalance	-
other	0.005
total	1.513
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.151
depend-branch	-
issue	-
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.115
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.991
sync	-
dvfs-transition	-
imbalance	-
other	0.006
total	1.513
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.152
depend-branch	-
issue	-
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.115
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.991
sync	-
dvfs-transition	-
imbalance	-
other	0.005
total	1.514
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.152
depend-branch	-
issue	-
serial	-
smt	-
branch	-
itlb	-
dtlb	-
ifetch	-
mem	-
mem-l1d	0.115
mem-l2	-
mem-l3	-
mem-l4	-
mem-remote	-
mem-nuca	-
mem-dram-cache	-
mem-dram	0.991
sync	-
dvfs-transition	-
imbalance	-
other	0.005
total	1.513
base	0.250
dispatch_width	-
rs_full	-
depend	-
depend-int	-
depend-fp	0.152
