                                     | Core 0    
  Instructions                       |   70056383
  Cycles                             |  105540840
  IPC                                |       0.66
  Time (ns)                          |   29316900
  Idle time (ns)                     |        -16
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |    2183391
  num incorrect                      |       4935
  misprediction rate                 |      0.23%
  mpki                               |       0.07
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |    8517309
    num misses                       |         77
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |   31862309
    num misses                       |       3046
    miss rate                        |      0.01%
    mpki                             |       0.04
  L2 TLB                             |           
    num accesses                     |       3123
    num misses                       |        247
    miss rate                        |      7.91%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |    8517309
    num cache misses                 |      10114
    miss rate                        |      0.12%
    mpki                             |       0.14
  Cache L1-D                         |           
    num cache accesses               |   31862309
    num cache misses                 |    2166153
    miss rate                        |      6.80%
    mpki                             |      30.92
  Cache L2                           |           
    num cache accesses               |    2180633
    num cache misses                 |    2174676
    miss rate                        |     99.73%
    mpki                             |      31.04
DRAM summary                         |           
  num dram accesses                  |    2220202
  average dram access latency (ns)   |      31.99
  average dram queueing delay        |       0.13
  average dram bandwidth utilization |     21.00%
Coherency Traffic                    |           
  num loads from dram                |    2123624
  num loads from dram cache          |          0
  num loads from remote cache        |          0
